[2025-04-17 18:34:54] CPU: 1.0% | Mem: 16.5% | Net Sent: 301318663659 B | Net Recv: 109487626994 B
[2025-04-17 18:35:00] CPU: 0.9% | Mem: 16.7% | Net Sent: 301318772047 B | Net Recv: 109487752676 B
[2025-04-17 18:35:06] CPU: 0.4% | Mem: 16.2% | Net Sent: 305341304377 B | Net Recv: 109490385750 B
[2025-04-17 18:35:12] CPU: 0.2% | Mem: 17.2% | Net Sent: 309107713618 B | Net Recv: 109492139403 B
[2025-04-17 18:35:18] CPU: 0.3% | Mem: 16.1% | Net Sent: 309363961906 B | Net Recv: 109492275357 B
[2025-04-17 18:35:24] CPU: 0.4% | Mem: 16.1% | Net Sent: 313641469452 B | Net Recv: 109494316362 B
[2025-04-17 18:35:30] CPU: 0.2% | Mem: 17.1% | Net Sent: 313645957848 B | Net Recv: 109494450781 B
[2025-04-17 18:35:36] CPU: 0.3% | Mem: 16.2% | Net Sent: 317664143321 B | Net Recv: 109496066619 B
[2025-04-17 18:35:42] CPU: 0.0% | Mem: 17.2% | Net Sent: 321686697372 B | Net Recv: 109497539400 B
[2025-04-17 18:35:48] CPU: 0.3% | Mem: 16.7% | Net Sent: 321686821859 B | Net Recv: 109497679969 B
[2025-04-17 18:35:54] CPU: 0.4% | Mem: 16.2% | Net Sent: 325964352288 B | Net Recv: 109499339431 B
[2025-04-17 18:36:00] CPU: 0.8% | Mem: 16.2% | Net Sent: 325964460379 B | Net Recv: 109499465290 B
[2025-04-17 18:36:06] CPU: 0.0% | Mem: 16.1% | Net Sent: 329987008378 B | Net Recv: 109500799905 B
[2025-04-17 18:36:12] CPU: 0.3% | Mem: 17.0% | Net Sent: 329987116089 B | Net Recv: 109500924859 B
[2025-04-17 18:36:18] CPU: 0.4% | Mem: 16.0% | Net Sent: 334010316733 B | Net Recv: 109501148340 B
[2025-04-17 18:36:24] CPU: 0.2% | Mem: 16.9% | Net Sent: 338033003891 B | Net Recv: 109501539625 B
[2025-04-17 18:36:30] CPU: 0.4% | Mem: 16.0% | Net Sent: 338287994667 B | Net Recv: 109501708301 B
[2025-04-17 18:36:36] CPU: 0.3% | Mem: 15.9% | Net Sent: 342310548674 B | Net Recv: 109502025126 B
[2025-04-17 18:36:42] CPU: 0.1% | Mem: 17.0% | Net Sent: 342315017800 B | Net Recv: 109502158830 B
[2025-04-17 18:36:48] CPU: 0.3% | Mem: 16.0% | Net Sent: 346333241449 B | Net Recv: 109502463359 B
[2025-04-17 18:36:54] CPU: 0.2% | Mem: 16.0% | Net Sent: 350414889656 B | Net Recv: 109502878514 B
[2025-04-17 18:37:00] CPU: 0.8% | Mem: 16.4% | Net Sent: 350610931492 B | Net Recv: 109503049729 B
[2025-04-17 18:37:06] CPU: 0.7% | Mem: 17.3% | Net Sent: 350615408566 B | Net Recv: 109503176499 B
[2025-04-17 18:37:12] CPU: 0.4% | Mem: 16.3% | Net Sent: 354633586503 B | Net Recv: 109506323879 B
[2025-04-17 18:37:18] CPU: 0.0% | Mem: 17.2% | Net Sent: 358656086521 B | Net Recv: 109506645038 B
[2025-04-17 18:37:24] CPU: 0.5% | Mem: 16.0% | Net Sent: 358656296929 B | Net Recv: 109506868770 B
[2025-04-17 18:37:30] CPU: 0.4% | Mem: 16.1% | Net Sent: 362933760283 B | Net Recv: 109507243911 B
